,Normal,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms
Normal,0.9847297297297297,0.002405405405405405,5.4054054054054054e-05,8.108108108108108e-05,0.0006216216216216216,0.010216216216216217,0.0,0.0008108108108108108,0.001054054054054054,2.7027027027027027e-05
Analysis,0.01624815361890694,0.0,0.0014771048744460858,0.914327917282127,0.06794682422451995,0.0,0.0,0.0,0.0,0.0
Backdoor,0.0,0.0,0.0411663807890223,0.9056603773584906,0.02058319039451115,0.008576329331046312,0.0,0.008576329331046312,0.015437392795883362,0.0
DoS,0.0004891171435558817,0.0019564685742235266,0.006358522866226461,0.7527512839325018,0.1760821716801174,0.023233064318904376,0.001222792858889704,0.0119833700171191,0.02372218146246026,0.0022010271460014674
Exploits,0.0025152712899748474,0.0029644268774703555,0.0064678404599353215,0.29518505210204815,0.590100610851599,0.03036291771469637,0.00017966223499820338,0.03629177146963708,0.029554437657204457,0.00637800934243622
Fuzzers,0.02391949851534147,0.0,0.0011547344110854503,0.2071923457604751,0.05146816232266579,0.6024414384691521,0.0,0.028208512042230287,0.08512042230287034,0.0004948861761794787
Generic,0.00021196544963171003,0.0,0.0002649568120396375,0.006941868475438503,0.020772614063907582,0.006517937576175083,0.9618992104287001,0.0006888877113030576,0.0021196544963171,0.0005829049864872026
Reconnaissance,0.0,0.0002860411899313501,0.0011441647597254005,0.09324942791762014,0.02660183066361556,0.009439359267734555,0.0,0.8369565217391305,0.032036613272311214,0.0002860411899313501
Shellcode,0.0,0.0,0.010582010582010581,0.0026455026455026454,0.018518518518518517,0.06613756613756613,0.0,0.07936507936507936,0.8227513227513228,0.0
Worms,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.13636363636363635,0.5909090909090909
