Metric,Mean,Std,Min,Max,Formatted (Mean +/- Std),"Range [Min, Max]"
Accuracy,0.8552932031287955,0.0016365236456678,0.8534105815478793,0.8573458679492786,0.8553 +/- 0.0016,"[0.8534, 0.8573]"
Macro Precision,0.5045708552240878,0.0012622090255789,0.5028572847666845,0.5066946105933964,0.5046 +/- 0.0013,"[0.5029, 0.5067]"
Macro Recall,0.547373102112214,0.0020196345325749,0.544777126579907,0.5509545739212836,0.5474 +/- 0.0020,"[0.5448, 0.5510]"
Macro F1,0.5014159688339739,0.0012316766646642,0.4995324494312049,0.502868337984188,0.5014 +/- 0.0012,"[0.4995, 0.5029]"
Weighted F1,0.8617690405585856,0.0013453029010734,0.8600804316952081,0.8633980706048692,0.8618 +/- 0.0013,"[0.8601, 0.8634]"
ROC-AUC,0.9683123732719172,0.0004078787695856,0.9677018990300588,0.9688051786789088,0.9683 +/- 0.0004,"[0.9677, 0.9688]"
FPR,0.0363891891891891,0.0034185759896383,0.032054054054054,0.0414054054054054,0.0364 +/- 0.0034,"[0.0321, 0.0414]"
FNR,0.0066751963293038,0.0006171292628716,0.0058016412247419,0.0074340421777111,0.0067 +/- 0.0006,"[0.0058, 0.0074]"
Train Time (s),347.76443769999986,479.4966484048444,89.42693669999971,1306.218737,347.7644 +/- 479.4966,"[89.4269, 1306.2187]"
Inf Latency (ms/1k),12.423990671915394,1.7701868030262078,10.92271170383809,14.888817227805982,12.4240 +/- 1.7702,"[10.9227, 14.8888]"
