Class ID,Class Name,Precision,Recall,F1 Score,Support
0,Normal,0.9948122866894198,0.9847297297297296,0.9897453310696096,37000
1,Analysis,0.0,0.0,0.0,677
2,Backdoor,0.1655172413793103,0.0411663807890223,0.0659340659340659,583
3,DoS,0.3335500650195058,0.7527512839325018,0.4622662761883307,4089
4,Exploits,0.8028599364458567,0.590100610851599,0.6802319560940251,11132
5,Fuzzers,0.7848699763593381,0.6024414384691521,0.681661222585161,6062
6,Generic,0.9996145162178534,0.9618992104287,0.9803942749122332,18871
7,Reconnaissance,0.8065049614112458,0.8369565217391305,0.8214486243683324,3496
8,Shellcode,0.2131596984235778,0.8227513227513228,0.3385955362003266,378
9,Worms,0.2131147540983606,0.5909090909090909,0.3132530120481928,44
