Experiment,Class ID,Class Name,Precision,Recall,F1 Score,f1_mean,f1_std,recall_mean,recall_std
A. GraphSAGE only,0,Normal,0.9875 +/- 0.0017,0.8922 +/- 0.0087,0.9374 +/- 0.0047,0.9374272479684529,0.0047346052110677364,0.8921981981981982,0.008739899616400877
A. GraphSAGE only,1,Analysis,0.0004 +/- 0.0006,0.0005 +/- 0.0007,0.0005 +/- 0.0006,0.0004544421722335833,0.0006426782832870234,0.0004923682914820286,0.0006963139154963541
A. GraphSAGE only,2,Backdoor,0.0651 +/- 0.0558,0.0023 +/- 0.0021,0.0044 +/- 0.0041,0.004416896235078053,0.004120603986041417,0.002287021154945683,0.002139312399527697
A. GraphSAGE only,3,DoS,0.3283 +/- 0.0009,0.7120 +/- 0.0026,0.4494 +/- 0.0012,0.44939545444306317,0.001180654073806604,0.7119915219695118,0.0025752945298657265
A. GraphSAGE only,4,Exploits,0.8141 +/- 0.0014,0.5421 +/- 0.0035,0.6508 +/- 0.0030,0.6508436547583458,0.002964992359806835,0.5421307941070787,0.003498419405182653
A. GraphSAGE only,5,Fuzzers,0.5162 +/- 0.0228,0.6954 +/- 0.0055,0.5923 +/- 0.0155,0.5922660058998716,0.015480520046048864,0.6953700648850764,0.005511367871252989
A. GraphSAGE only,6,Generic,0.9990 +/- 0.0003,0.9611 +/- 0.0005,0.9797 +/- 0.0003,0.9796994484894884,0.0003369373708699068,0.9611396675675198,0.0005198077815894896
A. GraphSAGE only,7,Reconnaissance,0.6013 +/- 0.0073,0.8162 +/- 0.0054,0.6924 +/- 0.0066,0.6924391478999387,0.0066404440182156665,0.8161708619374523,0.005413832786643176
A. GraphSAGE only,8,Shellcode,0.2533 +/- 0.0118,0.5591 +/- 0.0194,0.3486 +/- 0.0143,0.3485974360484095,0.014265855701632866,0.5590828924162258,0.019360227866049507
A. GraphSAGE only,9,Worms,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0,0.0,0.0,0.0
B. Transformer only,0,Normal,0.9957 +/- 0.0029,0.5771 +/- 0.0013,0.7307 +/- 0.0018,0.7307065421726661,0.00180622979929323,0.5771261261261261,0.001276166750290664
B. Transformer only,1,Analysis,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0,0.0,0.0,0.0
B. Transformer only,2,Backdoor,0.0833 +/- 0.1179,0.0034 +/- 0.0049,0.0066 +/- 0.0093,0.0065897858319604605,0.009319364496692554,0.0034305317324185253,0.004851504502137547
B. Transformer only,3,DoS,0.3271 +/- 0.0016,0.7235 +/- 0.0095,0.4505 +/- 0.0026,0.45046000656974833,0.0026239515840631856,0.7234857748430749,0.009526978583187623
B. Transformer only,4,Exploits,0.7819 +/- 0.0286,0.5764 +/- 0.0123,0.6630 +/- 0.0052,0.6630453889605851,0.005175028118846804,0.5763564498742365,0.012302163005164013
B. Transformer only,5,Fuzzers,0.2403 +/- 0.0218,0.6673 +/- 0.0849,0.3533 +/- 0.0356,0.3532926820469669,0.035578879152542216,0.6672715275486638,0.08486951905571417
B. Transformer only,6,Generic,0.9984 +/- 0.0008,0.9621 +/- 0.0009,0.9799 +/- 0.0002,0.9799035080393742,0.00022948268826430672,0.9620581845159238,0.0009034470423785778
B. Transformer only,7,Reconnaissance,0.5751 +/- 0.0329,0.8193 +/- 0.0021,0.6753 +/- 0.0218,0.675252435981597,0.021839139130210686,0.8193173150266971,0.0021062854723850662
B. Transformer only,8,Shellcode,0.1690 +/- 0.0305,0.6023 +/- 0.0168,0.2620 +/- 0.0363,0.2620441000523713,0.03625829179788868,0.6022927689594356,0.01677804020321026
B. Transformer only,9,Worms,0.1748 +/- 0.1157,0.2121 +/- 0.1405,0.1415 +/- 0.0465,0.14152514152514153,0.04650335045048951,0.21212121212121213,0.14050937114387432
