Experiment,Seed,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fpr,fnr,minority_recall_rare4,minority_recall_all_attacks,roc_auc,pr_auc,train_time_sec,inf_latency_ms_per_1k
A. GraphSAGE only,42,0.818308798523053,0.45045332043654096,0.5203705145564649,0.46581264289923296,0.8310008464134999,0.1087027027027027,0.007434042177711109,0.14351851851851852,0.4791564275852612,0.9616027728444267,0.502038262406719,6.113076000000092,1.2203966865839344
A. GraphSAGE only,123,0.8138876742943205,0.45881594845644935,0.5143087597770564,0.4614350811051242,0.8268496912096652,0.11802702702702703,0.009772346245477808,0.13422295733616488,0.4734571805330656,0.9611434477861256,0.4939090038250652,5.882698599999912,1.1871860273001016
A. GraphSAGE only,456,0.8228756740999854,0.46030483226194613,0.5195797428247261,0.46941419617010727,0.8345420572161674,0.09667567567567567,0.010367951998588193,0.1436552355423067,0.47694145599143734,0.9611400016292821,0.4955727908954354,6.240350199999739,1.3830527619876152
B. Transformer only,42,0.6823227906524802,0.4192372899338547,0.506814149844629,0.4238322079129967,0.722477168019983,0.42227027027027025,0.0017647577869937352,0.17893217893217894,0.4989346409685067,0.9507795326437923,0.46341973188775515,88.03053269999964,10.519316912016116
B. Transformer only,123,0.6851527959966963,0.42924296022403013,0.5423570476061235,0.4382918828282527,0.7233600792845384,0.42464864864864865,0.003882467131386217,0.2543891293891294,0.5386910138566537,0.9511134739874952,0.4577997302229499,87.58443500000021,10.437543118110343
B. Transformer only,456,0.6741850070446485,0.455201413584356,0.493866769773584,0.416721786612874,0.7171972146295963,0.4217027027027027,0.0005073678637606988,0.18006207628849139,0.48448560004872704,0.948262854959621,0.44437375165289694,87.68187540000008,10.534045085753478
C. GraphSAGE + Transformer,42,0.8245275227129184,0.5104473518886034,0.5382715127327218,0.4885558433504361,0.8366011408300867,0.09956756756756757,0.007169328509662049,0.17437855645402814,0.49803141054386507,0.9640265228831325,0.5220405747950879,90.27805510000007,11.051491522125678
C. GraphSAGE + Transformer,123,0.8141184472623039,0.4840224735374231,0.5302432271481992,0.4682572914865033,0.8281104797652667,0.10086486486486486,0.005404570722668314,0.19362086215887672,0.489255237371873,0.9620696167510949,0.4930516864148474,90.45198429999982,10.84939148812314
C. GraphSAGE + Transformer,456,0.8160375066802701,0.5373955509199627,0.5369051544171047,0.4769996486698722,0.8297453911935114,0.10956756756756757,0.005757522280067061,0.1919481727980655,0.497624345748735,0.9641337545146398,0.5039746683192454,90.42583109999987,11.160226886266631
D. Remove temporal edges,42,0.8302847009668173,0.5048285249832005,0.5454704357159379,0.49993996217896697,0.8416130311565271,0.0878918918918919,0.006816376952263302,0.1922221036846465,0.5047329165612523,0.9631767824709929,0.5261294266468945,91.51158239999995,11.068523781761495
