Model,Class ID,Class Name,Precision,Recall,F1 Score,f1_mean,f1_std
Random Forest,0,Normal,0.9640 +/- 0.0014,0.7553 +/- 0.0006,0.8470 +/- 0.0005,0.8469536742451335,0.0004886140177007499
Random Forest,1,Analysis,0.0028 +/- 0.0039,0.0039 +/- 0.0056,0.0033 +/- 0.0046,0.0032520325203252032,0.00459906849552226
Random Forest,2,Backdoor,0.0284 +/- 0.0030,0.0669 +/- 0.0014,0.0398 +/- 0.0032,0.03977607466735819,0.00315314483594885
Random Forest,3,DoS,0.7562 +/- 0.0194,0.0756 +/- 0.0016,0.1374 +/- 0.0026,0.1373870136548364,0.002557462601356486
Random Forest,4,Exploits,0.5816 +/- 0.0018,0.8632 +/- 0.0047,0.6950 +/- 0.0010,0.6949577269441424,0.0009887450896848703
Random Forest,5,Fuzzers,0.2934 +/- 0.0007,0.5904 +/- 0.0052,0.3920 +/- 0.0017,0.3920257317931674,0.0017104243717649906
Random Forest,6,Generic,0.9993 +/- 0.0001,0.9660 +/- 0.0004,0.9824 +/- 0.0002,0.982360622327182,0.00016846522634257684
Random Forest,7,Reconnaissance,0.9233 +/- 0.0046,0.7996 +/- 0.0011,0.8570 +/- 0.0022,0.8569865436523348,0.002222187300059522
Random Forest,8,Shellcode,0.4012 +/- 0.0175,0.6808 +/- 0.0033,0.5046 +/- 0.0137,0.5046310727174603,0.013720423373323826
Random Forest,9,Worms,0.8500 +/- 0.1080,0.0833 +/- 0.0107,0.1516 +/- 0.0189,0.15164399092970518,0.018891250230103886
XGBoost,0,Normal,0.9662 +/- 0.0016,0.7618 +/- 0.0019,0.8519 +/- 0.0013,0.8519117479962529,0.0012914098347666782
XGBoost,1,Analysis,0.0216 +/- 0.0162,0.0207 +/- 0.0158,0.0211 +/- 0.0160,0.021118201676764137,0.01601853075316775
XGBoost,2,Backdoor,0.0348 +/- 0.0100,0.0943 +/- 0.0412,0.0506 +/- 0.0166,0.050616596553207625,0.016575977310393213
XGBoost,3,DoS,0.5906 +/- 0.0204,0.0726 +/- 0.0011,0.1293 +/- 0.0013,0.1293301886984449,0.0013345278738825523
XGBoost,4,Exploits,0.5794 +/- 0.0034,0.8888 +/- 0.0068,0.7015 +/- 0.0006,0.701462403267428,0.00063961103792409
XGBoost,5,Fuzzers,0.3201 +/- 0.0028,0.5905 +/- 0.0025,0.4151 +/- 0.0029,0.4151141968917426,0.0029452851499766107
XGBoost,6,Generic,0.9983 +/- 0.0002,0.9699 +/- 0.0004,0.9839 +/- 0.0002,0.9838817656267366,0.00019256137812426674
XGBoost,7,Reconnaissance,0.9354 +/- 0.0021,0.8084 +/- 0.0015,0.8672 +/- 0.0008,0.8672259431976356,0.0008461812379479076
XGBoost,8,Shellcode,0.3372 +/- 0.0148,0.7963 +/- 0.0131,0.4737 +/- 0.0168,0.47371797369459556,0.01683497882305799
XGBoost,9,Worms,0.6285 +/- 0.0299,0.4318 +/- 0.0186,0.5111 +/- 0.0111,0.5111193476649369,0.011123465179488375
MLP,0,Normal,0.9895 +/- 0.0018,0.5815 +/- 0.0033,0.7325 +/- 0.0024,0.7325218455486265,0.0024024122984038342
MLP,1,Analysis,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0,0.0
MLP,2,Backdoor,0.1366 +/- 0.0648,0.0074 +/- 0.0040,0.0141 +/- 0.0076,0.01408065114384751,0.007615645266229343
MLP,3,DoS,0.3245 +/- 0.0021,0.6558 +/- 0.0149,0.4341 +/- 0.0052,0.4341394639937615,0.005189346422139177
MLP,4,Exploits,0.7440 +/- 0.0074,0.5976 +/- 0.0135,0.6626 +/- 0.0058,0.6626368790186986,0.005771091267347997
MLP,5,Fuzzers,0.2520 +/- 0.0013,0.7171 +/- 0.0040,0.3729 +/- 0.0015,0.37290809613024417,0.0015111017544226426
MLP,6,Generic,0.9992 +/- 0.0001,0.9621 +/- 0.0000,0.9803 +/- 0.0000,0.980319108646872,3.6681419856973146e-05
MLP,7,Reconnaissance,0.5785 +/- 0.0077,0.7925 +/- 0.0141,0.6687 +/- 0.0013,0.6686815640325362,0.0013405264718620296
MLP,8,Shellcode,0.2011 +/- 0.0041,0.5494 +/- 0.0025,0.2944 +/- 0.0041,0.29443059774708596,0.004115980854576263
MLP,9,Worms,0.0128 +/- 0.0181,0.0076 +/- 0.0107,0.0095 +/- 0.0135,0.009523809523809523,0.013468700594029479
BiLSTM,0,Normal,0.9943 +/- 0.0002,0.5773 +/- 0.0008,0.7304 +/- 0.0006,0.7304466464695715,0.0006079342642317481
BiLSTM,1,Analysis,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0,0.0
BiLSTM,2,Backdoor,0.1346 +/- 0.1030,0.0029 +/- 0.0029,0.0055 +/- 0.0056,0.005514481341303876,0.005566036310390913
