accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,binary_fpr,binary_fnr,roc_auc_macro,pr_auc_macro,model,seed,training_time_s,inference_ms_per_1k,total_params,trainable_params
0.7626439294563475,0.5687583666414033,0.48653206163421336,0.4581527991100419,0.7745419675112613,0.24386486486486486,0.02336098120532957,0.9574834787413321,0.548302172477978,Random Forest,42,4.85383152961731,6.267655864723546,0,0
0.7630447456638974,0.581052185075998,0.4904370831373816,0.46488356769456185,0.7745800824806786,0.24497297297297296,0.023956586958439954,0.9580020909286997,0.5508912163751298,Random Forest,123,4.952443838119507,6.258745429316954,0,0
0.7615143565077978,0.5902241559860573,0.4885354068195486,0.4599559782308901,0.7744735289162802,0.24537837837837836,0.021772699197035207,0.9563109611199783,0.5572429697828072,Random Forest,456,4.836154460906982,6.494250814392181,0,0
0.7703808968566292,0.541754096539021,0.5424107977121723,0.49927357850556586,0.7789308686821296,0.24083783783783783,0.021088855554575136,0.963939915541318,0.5825457889434734,XGBoost,42,12.624279022216797,4.153696329932005,0,0
0.7719598697954623,0.5361821339245899,0.5419065392562025,0.49967057862434466,0.7810991549021276,0.23624324324324325,0.02089032030353834,0.9637978732881548,0.577145756757884,XGBoost,123,12.536784887313843,4.00274596709827,0,0
0.7705630860418792,0.5456696040738941,0.5462262814647706,0.5027053524504128,0.7799598974338392,0.23751351351351352,0.023272743315979883,0.9646000906283609,0.5820985765571031,XGBoost,456,13.028923034667969,4.195850768740506,0,0
0.6850434824855464,0.4285716333983568,0.4890862210010451,0.4161530358776934,0.7230128259742299,0.41486486486486485,0.00483102444189535,0.9500156389641733,0.4465522015460876,MLP,42,3.9541399478912354,1.067181738126164,84618,84618
0.6843876014186464,0.4281376775783963,0.48642425480509,0.4190845400613501,0.722362511537399,0.41786486486486485,0.006176652254478073,0.9487911203652912,0.4404221057808563,MLP,123,3.588114023208618,0.9230944665870727,84618,84618
0.6833309041441966,0.41478376859903304,0.4858159022726708,0.41553502879660115,0.7216842255937691,0.4227567567567568,0.004081002382423013,0.9466856757335922,0.43869915502423906,MLP,456,3.5773768424987793,0.8887297811889501,84618,84618
0.6864767040761793,0.45271690880641485,0.518256412745147,0.4350919392251232,0.7248697820128774,0.4237297297297297,0.0025809582634783376,0.955027950905653,0.4749131585147256,BiLSTM,42,15.076875925064087,2.320639936429259,309450,309450
0.6874483797308458,0.4327342299630589,0.5151386294824233,0.4257630713511798,0.7255787916237263,0.4217837837837838,0.0027133150975028678,0.9561950682363838,0.479901441801292,BiLSTM,123,14.988069295883179,2.2971751141674415,309450,309450
0.6877034445901958,0.4177301940574841,0.5083950169650765,0.42441619067366354,0.725951306821587,0.42267567567567566,0.002845671931527398,0.9540431564472263,0.4735544291780716,BiLSTM,456,14.97592544555664,2.189937140824281,309450,309450
0.6853957149103629,0.42671063834327166,0.5187081790910051,0.43380395210090955,0.7248017586302169,0.42105405405405405,0.001279449395570458,0.9501771274280351,0.46443419572010153,Transformer-only,42,88.16015458106995,10.589335765504098,127754,127754
0.6817762230967304,0.4388849649101281,0.5478901096181289,0.4293070711725327,0.7210548615160924,0.4227027027027027,0.0032427424336009883,0.9519137640422832,0.4648125435896519,Transformer-only,123,88.01556754112244,10.559760764916668,127754,127754
0.6778652285866977,0.41069111157434346,0.5372264364339099,0.421522837374691,0.7193313690148445,0.4224864864864865,0.0006617841701226507,0.9488763770414848,0.44565571906639007,Transformer-only,456,88.60354852676392,11.068915264405968,127754,127754
0.836807073798766,0.4665045079812079,0.5213178735227888,0.4783093066611306,0.8454541550120246,0.06908108108108107,0.008934086296655784,0.9622404011280867,0.4998736482445227,GraphSAGE-only,42,8.063875913619995,2.199232720172724,48330,48330
