feature,train_mean,train_std,train_min,train_p25,train_median,train_p75,train_max,train_skew,test_mean,test_std,test_min,test_median,test_max,test_skew
dur,1.3593886921256295,6.480248856652842,0.0,8e-06,0.001582,0.668069,59.999989,7.496060544592534,1.0067561463464996,4.710444410846159,0.0,0.014138,59.999989,9.523750393344962
spkts,20.29866374664226,136.88759690768774,1.0,2.0,2.0,12.0,9616.0,40.21770262781216,18.666472331535733,133.91635344919013,1.0,6.0,10646.0,47.74777707552023
dpkts,18.969590683297117,110.25827058162155,0.0,0.0,2.0,10.0,10974.0,36.764114389629526,17.54593596657436,115.57408562825539,0.0,2.0,11018.0,49.30412707246661
sbytes,8844.843835725815,174765.6443094745,28.0,114.0,430.0,1418.0,12965233.0,45.30344290011047,7993.908164504688,171642.26188005073,24.0,534.0,14355774.0,53.778545927853585
dbytes,14928.918564397374,143654.2177178705,0.0,0.0,164.0,1102.0,14655550.0,39.760863679082696,13233.78556332896,151471.45609124954,0.0,178.0,14657531.0,52.55038692178041
rate,95406.18710518943,165400.97845725933,0.0,32.78614,3225.80652,125000.0003,1000000.003,3.3194945898084494,82410.88673910811,148620.36704058968,0.0,2650.176667,1000000.003,3.4994933511409823
sttl,179.546996994428,102.94001105701695,0.0,62.0,254.0,254.0,255.0,-0.6781092365887204,180.96766749259098,101.51335750093565,0.0,254.0,255.0,-0.69038131176919
dttl,79.60956650184498,110.50686317659952,0.0,0.0,29.0,252.0,254.0,0.8950095892231043,95.71300344944858,116.66772163700348,0.0,29.0,253.0,0.575207788989881
sload,73454033.19406255,188357447.00020304,0.0,13053.33887,879674.75,88888888.0,5988000256.0,8.703398789576552,64549016.91405929,179861832.6300027,0.0,577003.21875,5268000256.0,9.488393212959751
dload,671205.5741883258,2421312.388757486,0.0,0.0,1447.022705,27844.87109,22422730.0,4.691217092888466,630546.9589998035,2393000.5556456265,0.0,2112.951416,20821108.0,4.75390078634745
sloss,4.953000153985662,66.00505853508564,0.0,0.0,0.0,3.0,4803.0,44.75366181407537,4.753692367487733,64.64961956032253,0.0,1.0,5319.0,52.46527652686876
dloss,6.948009877895073,52.73299929294158,0.0,0.0,0.0,2.0,5484.0,41.38027007028287,6.308555604139339,55.70802143325085,0.0,0.0,5507.0,54.465649114557564
sinpkt,985.9768636758546,7242.245840957421,0.0,0.008,0.279733,55.156896,84371.496,7.917534921628944,755.3943010848151,6182.615731603772,0.0,0.5579285,60009.992,9.274082197956785
dinpkt,88.21629640844412,987.0931947448009,0.0,0.0,0.006,51.053,56716.824,29.67951203686419,121.70128382695671,1292.378498781412,0.0,0.01,57739.24,23.01304608166282
sjit,4976.25422621193,44965.846519187566,0.0,0.0,0.0,2513.295019,1460480.016,17.65215718817733,6363.075099675206,56724.01668947716,0.0,17.6239185,1483830.917,15.349379672575278
djit,604.3538264155103,4061.0432811266774,0.0,0.0,0.0,114.990625,289388.2697,29.543830440063015,535.1804302089224,3635.305382910511,0.0,0.0,463199.2401,60.56227475052681
swin,116.25733855743951,127.00102415612095,0.0,0.0,0.0,255.0,255.0,0.1770478121970468,133.45908030899287,127.35699974821928,0.0,255.0,255.0,-0.09357394681367025
stcpb,969250421.9105115,1355264249.263036,0.0,0.0,0.0,1916651334.0,4294958913.0,1.081121495532782,1084641551.1152892,1390859761.610447,0.0,27888855.0,4294949667.0,0.9164472373882534
dtcpb,968877027.0711528,1353999546.225652,0.0,0.0,0.0,1913674673.0,4294881924.0,1.0810171187072481,1073464670.8803867,1381996192.032797,0.0,28569748.5,4294880717.0,0.9301372617910765
dwin,115.01362487952048,126.88652954242663,0.0,0.0,0.0,255.0,255.0,0.19681999607316308,128.28662002623525,127.4913700559241,0.0,255.0,255.0,-0.01232882701939818
tcprtt,0.04139564435585516,0.0793539718267979,0.0,0.0,0.0,0.065481,2.518893,4.038358803391814,0.0559250444298693,0.11602177116004109,0.0,0.000551,3.821465,9.060343772576264
synack,0.021020450476500082,0.04339978350809994,0.0,0.0,0.0,0.023268,2.100352,5.786285648066837,0.02925592920128261,0.07085352141912635,0.0,0.000441,3.226788,13.809682334769576
ackdat,0.02037519387935508,0.04050635591342878,0.0,0.0,0.0,0.038906,1.520884,5.615605400717597,0.0266691152285867,0.055093538334030516,0.0,8e-05,2.928778,9.628722345952289
smean,136.7517694093224,204.67735958881985,28.0,57.0,73.0,100.0,1504.0,3.72662255685938,139.52860370208424,208.47206330498105,24.0,65.0,1504.0,3.544111210752907
dmean,124.17338215249143,258.31705598827045,0.0,0.0,44.0,89.0,1458.0,2.8261458622156623,116.2750692318904,244.60027141356582,0.0,44.0,1500.0,3.1068392356522385
trans_depth,0.10598205781876457,0.7769107861776775,0.0,0.0,0.0,0.0,172.0,167.3358285556012,0.09427683039401448,0.5429218189784762,0.0,0.0,131.0,170.79439421878334
response_body_len,2144.2916545474245,54207.96729413285,0.0,0.0,0.0,0.0,6558056.0,76.34007534990576,1595.3718845649323,38066.97229164301,0.0,0.0,5242880.0,74.63519994851313
ct_srv_src,9.306437170998226,10.704331220592328,1.0,2.0,5.0,12.0,63.0,1.5211779927404614,9.54660399358694,11.09028854502271,1.0,5.0,63.0,1.856368087106112
ct_state_ttl,1.3041787146189425,0.9544060989961584,0.0,1.0,1.0,2.0,6.0,0.928414434066726,1.3692731866103094,1.0671880910513527,0.0,1.0,6.0,1.5221669123318762
ct_dst_ltm,6.193936386811983,8.052476384089168,1.0,1.0,2.0,7.0,51.0,2.050110491424287,5.744922994704368,8.418111964770473,1.0,2.0,59.0,2.6670014911412774
ct_src_dport_ltm,5.383538362390998,8.047104197483023,1.0,1.0,1.0,5.0,51.0,2.171187423540943,4.928897633969781,8.389545255933497,1.0,1.0,59.0,2.856818467365118
