,,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms,Total
proto,any,15,15,102,132,15,3,0,18,0,0,300
proto,arp,0,0,0,0,0,0,2859,0,0,0,2859
proto,gre,10,12,72,102,12,3,0,14,0,0,225
proto,mobile,6,10,58,101,10,2,0,14,0,0,201
proto,ospf,67,139,726,1238,141,38,64,182,0,0,2595
proto,pim,6,10,58,101,10,2,0,14,0,0,201
proto,sctp,22,62,319,581,64,15,0,87,0,0,1150
proto,sun-nd,6,10,58,101,10,2,0,14,0,0,201
proto,swipe,6,10,58,101,10,2,0,14,0,0,201
proto,tcp,564,272,2281,19689,11761,486,39121,5100,557,115,79946
proto,udp,0,28,358,624,4945,39229,13922,3586,576,15,63283
proto,unas,700,600,4080,5280,600,104,0,720,0,0,12084
proto,Total,1402,1168,8170,28050,17578,39886,55966,9763,1133,130,163246
service,dhcp,0,0,33,52,0,9,0,0,0,0,94
service,dns,0,0,107,185,358,39116,7493,35,0,0,47294
service,ftp,0,5,50,1615,537,3,1218,0,0,0,3428
service,ftp-data,0,0,8,1435,0,0,2552,0,0,0,3995
service,http,558,83,1216,8677,836,289,5348,1603,0,114,18724
service,irc,0,11,4,10,0,0,0,0,0,0,25
service,none,1436,1647,10473,17206,16453,504,36512,8788,1133,16,94168
service,pop3,0,0,61,1039,0,1,4,0,0,0,1105
service,smtp,6,0,295,3113,0,60,1579,5,0,0,5058
service,snmp,0,0,13,5,0,1,1,60,0,0,80
service,ssh,0,0,0,10,0,1,1291,0,0,0,1302
service,ssl,0,0,4,39,0,13,0,0,0,0,56
service,Total,2000,1746,12264,33386,18184,39997,55998,10491,1133,130,175329
state,CON,8,57,295,596,32,17,12099,46,0,2,13152
state,ECO,0,0,0,0,0,0,12,0,0,0,12
state,FIN,564,272,2216,19591,11758,484,37175,5095,557,113,77825
state,INT,1408,1376,9521,12839,6050,39484,5715,5291,576,15,82275
state,NO,0,0,0,0,0,0,1,0,0,0,1
state,PAR,0,0,0,0,0,0,1,0,0,0,1
state,REQ,20,41,230,360,344,14,925,57,0,0,1991
state,RST,0,0,2,7,0,1,71,2,0,0,83
state,URN,0,0,0,0,0,0,1,0,0,0,1
state,Total,2000,1746,12264,33393,18184,40000,56000,10491,1133,130,175341
