feature,variance,std_dev,min,max,dynamic_range,is_zero_variance
stcpb,1.8367411853305004e+18,1355264249.263036,0.0,4294958913.0,4294958913.0,False
dtcpb,1.8333147711792714e+18,1353999546.225652,0.0,4294881924.0,4294881924.0,False
sload,3.54785278404343e+16,188357447.000203,0.0,5988000256.0,5988000256.0,False
dload,5862753683950.481,2421312.388757,0.0,22422730.0,22422730.0,False
sbytes,30543030430.905754,174765.644309,28.0,12965233.0,12965205.0,False
rate,27357483674.61877,165400.978457,0.0,1000000.003,1000000.003,False
dbytes,20636534268.13333,143654.217718,0.0,14655550.0,14655550.0,False
response_body_len,2938503718.161777,54207.967294,0.0,6558056.0,6558056.0,False
sjit,2021927353.187133,44965.846519,0.0,1460480.016,1460480.016,False
sinpkt,52450124.820865,7242.245841,0.0,84371.496,84371.496,False
djit,16492072.531184,4061.043281,0.0,289388.2697,289388.2697,False
dinpkt,974352.975111,987.093195,0.0,56716.824,56716.824,False
dmean,66727.701414,258.317056,0.0,1458.0,1458.0,False
smean,41892.821528,204.67736,28.0,1504.0,1476.0,False
spkts,18738.214187,136.887597,1.0,9616.0,9615.0,False
swin,16129.260137,127.001024,0.0,255.0,255.0,False
dwin,16100.191379,126.88653,0.0,255.0,255.0,False
dttl,12211.766809,110.506863,0.0,254.0,254.0,False
dpkts,12156.886232,110.258271,0.0,10974.0,10974.0,False
sttl,10596.645876,102.940011,0.0,255.0,255.0,False
sloss,4356.667752,66.005059,0.0,4803.0,4803.0,False
dloss,2780.769214,52.732999,0.0,5484.0,5484.0,False
ct_dst_src_ltm,120.038002,10.956186,1.0,65.0,64.0,False
ct_srv_dst,115.712016,10.756952,1.0,62.0,61.0,False
ct_srv_src,114.582707,10.704331,1.0,63.0,62.0,False
ct_src_ltm,69.247241,8.321493,1.0,60.0,59.0,False
ct_dst_ltm,64.842376,8.052476,1.0,51.0,50.0,False
ct_src_dport_ltm,64.755886,8.047104,1.0,51.0,50.0,False
dur,41.993625,6.480249,0.0,59.999989,59.999989,False
ct_dst_sport_ltm,33.449856,5.783585,1.0,46.0,45.0,False
ct_state_ttl,0.910891,0.954406,0.0,6.0,6.0,False
trans_depth,0.60359,0.776911,0.0,172.0,172.0,False
ct_flw_http_mthd,0.491692,0.701208,0.0,30.0,30.0,False
ct_ftp_cmd,0.015888,0.126048,0.0,4.0,4.0,False
is_sm_ips_ports,0.015504,0.124516,0.0,1.0,1.0,False
is_ftp_login,0.014426,0.120107,0.0,1.0,1.0,False
tcprtt,0.006297,0.079354,0.0,2.518893,2.518893,False
synack,0.001884,0.0434,0.0,2.100352,2.100352,False
ackdat,0.001641,0.040506,0.0,1.520884,1.520884,False
