feature,mean,std,median,iqr,min,max,skewness,kurtosis,outlier_pct_iqr
dload,671205.5742,2421312.3888,1447.0227,27844.8711,0.0,22422730.0,4.6912,22.8,21.75
ct_dst_sport_ltm,4.2063,5.7836,1.0,2.0,1.0,46.0,1.6965,1.9381,21.29
ct_src_dport_ltm,5.3835,8.0471,1.0,4.0,1.0,51.0,2.1712,4.4268,19.06
synack,0.021,0.0434,0.0,0.0233,0.0,2.1004,5.7863,117.9604,17.94
dloss,6.948,52.733,0.0,2.0,0.0,5484.0,41.3803,2942.8671,16.19
dbytes,14928.9186,143654.2177,164.0,1102.0,0.0,14655550.0,39.7609,2735.8311,16.04
spkts,20.2987,136.8876,2.0,10.0,1.0,9616.0,40.2177,1964.3529,14.07
dmean,124.1734,258.3171,44.0,89.0,0.0,1458.0,2.8261,7.6825,13.32
sbytes,8844.8438,174765.6443,430.0,1304.0,28.0,12965233.0,45.3034,2314.8802,13.04
ct_dst_ltm,6.1939,8.0525,2.0,6.0,1.0,51.0,2.0501,4.0141,12.63
dpkts,18.9696,110.2583,2.0,10.0,0.0,10974.0,36.7641,2465.5193,11.88
smean,136.7518,204.6774,73.0,43.0,28.0,1504.0,3.7266,14.1607,11.82
djit,604.3538,4061.0433,0.0,114.9906,0.0,289388.2697,29.5438,1336.1511,11.73
ct_srv_src,9.3064,10.7043,5.0,10.0,1.0,63.0,1.5212,1.3411,11.06
ct_srv_dst,9.1008,10.757,4.0,10.0,1.0,62.0,1.529,1.3221,11.03
sjit,4976.2542,44965.8465,0.0,2513.295,0.0,1460480.016,17.6522,350.5599,10.28
ct_flw_http_mthd,0.1331,0.7012,0.0,0.0,0.0,30.0,23.4514,839.6701,10.17
trans_depth,0.106,0.7769,0.0,0.0,0.0,172.0,167.3358,34407.8538,10.17
ct_dst_src_ltm,8.7299,10.9562,3.0,11.0,1.0,65.0,1.5554,1.3151,10.12
rate,95406.1871,165400.9785,3225.8065,124967.2142,0.0,1000000.003,3.3195,14.2117,9.89
tcprtt,0.0414,0.0794,0.0,0.0655,0.0,2.5189,4.0384,51.2834,9.06
dur,1.3594,6.4802,0.0016,0.6681,0.0,60.0,7.4961,58.6089,8.98
sinpkt,985.9769,7242.2458,0.2797,55.1489,0.0,84371.496,7.9175,61.2269,8.43
dinpkt,88.2163,987.0932,0.006,51.053,0.0,56716.824,29.6795,1158.2687,8.04
sload,73454033.1941,188357447.0002,879674.75,88875834.6611,0.0,5988000256.0,8.7034,129.5326,7.71
ct_src_ltm,6.9558,8.3215,3.0,7.0,1.0,60.0,1.8421,3.0951,7.49
sloss,4.953,66.0051,0.0,3.0,0.0,4803.0,44.7537,2277.9603,6.54
response_body_len,2144.2917,54207.9673,0.0,0.0,0.0,6558056.0,76.3401,7750.9782,6.44
ackdat,0.0204,0.0405,0.0,0.0389,0.0,1.5209,5.6156,107.7264,4.73
is_sm_ips_ports,0.0158,0.1245,0.0,0.0,0.0,1.0,7.7782,58.5011,1.58
is_ftp_login,0.0146,0.1201,0.0,0.0,0.0,1.0,8.0822,63.3225,1.46
ct_ftp_cmd,0.0149,0.126,0.0,0.0,0.0,4.0,9.9432,144.4131,1.46
ct_state_ttl,1.3042,0.9544,1.0,1.0,0.0,6.0,0.9284,4.4658,1.1
dtcpb,968877027.0712,1353999546.2257,0.0,1913674673.0,0.0,4294881924.0,1.081,-0.3163,0.0
stcpb,969250421.9105,1355264249.263,0.0,1916651334.0,0.0,4294958913.0,1.0811,-0.317,0.0
swin,116.2573,127.001,0.0,255.0,0.0,255.0,0.177,-1.9686,0.0
dttl,79.6096,110.5069,29.0,252.0,0.0,254.0,0.895,-1.1499,0.0
sttl,179.547,102.94,254.0,192.0,0.0,255.0,-0.6781,-1.5014,0.0
dwin,115.0136,126.8865,0.0,255.0,0.0,255.0,0.1968,-1.9613,0.0
