feature_1,feature_2,pearson_r,abs_r
dbytes,dloss,0.9965,0.9965
sbytes,sloss,0.9961,0.9961
swin,dwin,0.9901,0.9901
ct_srv_src,ct_srv_dst,0.9803,0.9803
dpkts,dloss,0.9786,0.9786
is_ftp_login,ct_ftp_cmd,0.9729,0.9729
ct_dst_src_ltm,ct_srv_dst,0.9724,0.9724
dpkts,dbytes,0.9719,0.9719
spkts,sloss,0.9711,0.9711
ct_srv_src,ct_dst_src_ltm,0.9671,0.9671
spkts,sbytes,0.9638,0.9638
ct_dst_ltm,ct_src_dport_ltm,0.9621,0.9621
tcprtt,synack,0.9495,0.9495
tcprtt,ackdat,0.9418,0.9418
sinpkt,is_sm_ips_ports,0.9413,0.9413
ct_src_dport_ltm,ct_dst_sport_ltm,0.9068,0.9068
ct_src_dport_ltm,ct_src_ltm,0.8974,0.8974
ct_dst_ltm,ct_src_ltm,0.8861,0.8861
ct_dst_ltm,ct_dst_sport_ltm,0.8706,0.8706
ct_src_dport_ltm,ct_dst_src_ltm,0.8699,0.8699
ct_src_dport_ltm,ct_srv_dst,0.8689,0.8689
ct_srv_src,ct_src_dport_ltm,0.866,0.866
ct_dst_ltm,ct_srv_dst,0.8526,0.8526
ct_dst_ltm,ct_dst_src_ltm,0.8523,0.8523
ct_srv_src,ct_dst_ltm,0.8413,0.8413
ct_dst_sport_ltm,ct_dst_src_ltm,0.8387,0.8387
ct_dst_sport_ltm,ct_srv_dst,0.8302,0.8302
ct_srv_src,ct_dst_sport_ltm,0.8236,0.8236
dttl,tcprtt,0.8073,0.8073
ct_dst_sport_ltm,ct_src_ltm,0.803,0.803
