window_idx,num_nodes,num_edges,avg_degree,median_degree,min_degree,max_degree,isolated_nodes,connected_components,attack_flow_ratio,split
0,1000,8825,8.82,9.0,7,10,0,1,0.0,train
1,1000,9075,9.07,9.0,7,11,0,1,0.0,train
2,1000,9159,9.16,9.0,7,11,0,1,0.0,train
3,1000,8961,8.96,9.0,7,9,0,1,0.0,train
4,1000,8963,8.96,9.0,7,9,0,1,0.0,train
5,1000,8988,8.99,9.0,7,10,0,1,0.0,train
6,1000,8984,8.98,9.0,7,10,0,1,0.0,train
7,1000,8967,8.97,9.0,7,10,0,1,0.0,train
8,1000,8968,8.97,9.0,7,9,0,1,0.0,train
9,1000,8976,8.98,9.0,7,9,0,1,0.0,train
10,1000,8962,8.96,9.0,7,11,0,1,0.0,train
11,1000,8976,8.98,9.0,7,9,0,1,0.0,train
12,1000,8990,8.99,9.0,7,10,0,1,0.0,train
13,1000,8986,8.99,9.0,7,11,0,1,0.0,train
14,1000,8974,8.97,9.0,7,9,0,1,0.0,train
15,1000,8917,8.92,9.0,7,10,0,1,0.0,train
16,1000,8946,8.95,9.0,7,9,0,1,0.0,train
17,1000,8965,8.96,9.0,7,10,0,1,0.0,train
18,1000,8984,8.98,9.0,7,11,0,1,0.0,train
19,1000,8941,8.94,9.0,7,10,0,1,0.0,train
20,1000,8958,8.96,9.0,7,9,0,1,0.0,train
21,1000,8963,8.96,9.0,7,10,0,1,0.0,train
22,1000,8958,8.96,9.0,7,9,0,1,0.0,train
23,1000,8966,8.97,9.0,7,11,0,1,0.0,train
24,1000,8971,8.97,9.0,7,9,0,1,0.0,train
25,1000,8958,8.96,9.0,7,9,0,1,0.0,train
26,1000,8946,8.95,9.0,7,10,0,1,0.0,train
27,1000,8956,8.96,9.0,7,11,0,1,0.0,train
28,1000,8944,8.94,9.0,7,9,0,1,0.0,train
29,1000,8965,8.96,9.0,7,10,0,1,0.0,train
30,1000,8956,8.96,9.0,7,9,0,1,0.0,train
31,1000,8941,8.94,9.0,7,10,0,1,0.0,train
32,1000,8956,8.96,9.0,7,10,0,1,0.0,train
33,1000,8967,8.97,9.0,7,9,0,1,0.0,train
34,1000,8971,8.97,9.0,7,10,0,1,0.0,train
35,1000,8976,8.98,9.0,7,10,0,1,0.0,train
36,1000,8958,8.96,9.0,7,10,0,1,0.0,train
37,1000,8978,8.98,9.0,7,10,0,1,0.0,train
38,1000,8975,8.97,9.0,7,10,0,1,0.0,train
39,1000,8954,8.95,9.0,7,10,0,1,0.0,train
40,1000,8921,8.92,9.0,5,11,0,1,0.0,train
41,1000,8849,8.85,9.0,5,11,0,1,0.0,train
42,1000,8666,8.67,9.0,5,11,0,1,0.0,train
43,1000,8721,8.72,9.0,6,11,0,1,0.0,train
44,1000,8904,8.9,9.0,5,12,0,1,0.0,train
45,1000,8442,8.44,9.0,5,11,0,1,0.0,train
46,1000,8734,8.73,9.0,5,12,0,1,0.0,train
47,1000,8784,8.78,9.0,6,11,0,1,0.089,train
48,1000,8949,8.95,9.0,6,11,0,1,1.0,train
49,1000,9013,9.01,9.0,6,11,0,1,1.0,train
50,1000,9055,9.05,9.0,7,11,0,1,1.0,train
51,1000,9153,9.15,9.0,6,11,0,1,1.0,train
52,1000,9256,9.26,9.0,7,12,0,1,1.0,train
53,1000,9264,9.26,9.0,7,12,0,1,1.0,train
54,1000,9396,9.4,9.0,7,12,0,1,1.0,train
55,1000,9171,9.17,9.0,7,11,0,1,1.0,train
56,1000,9264,9.26,9.0,7,11,0,1,1.0,train
57,1000,9265,9.27,9.0,7,12,0,1,1.0,train
58,1000,9056,9.06,9.0,6,11,0,1,1.0,train
59,1000,8689,8.69,9.0,6,11,0,1,1.0,train
60,1000,9135,9.13,9.0,6,12,0,1,1.0,train
61,1000,9166,9.17,9.0,6,12,0,1,1.0,train
62,1000,9122,9.12,9.0,7,11,0,1,0.864,train
63,1000,8999,9.0,9.0,6,12,0,1,1.0,train
64,1000,9134,9.13,9.0,6,12,0,1,0.926,train
65,1000,8991,8.99,9.0,6,11,0,1,0.837,train
66,1000,8665,8.66,9.0,5,12,0,1,0.858,train
67,1000,8987,8.99,9.0,7,11,0,1,0.876,train
68,1000,9264,9.26,9.0,7,11,0,1,0.948,train
69,1000,9160,9.16,9.0,6,12,0,1,0.921,train
70,1000,9354,9.35,9.0,6,12,0,1,0.948,train
71,1000,9220,9.22,9.0,7,12,0,1,0.807,train
72,1000,9194,9.19,9.0,7,11,0,1,0.844,train
73,1000,9325,9.32,9.0,7,12,0,1,0.877,train
74,1000,9096,9.1,9.0,6,11,0,1,0.78,train
75,1000,8946,8.95,9.0,6,12,0,1,0.768,train
76,1000,8721,8.72,9.0,5,11,0,1,0.875,train
77,1000,8662,8.66,9.0,5,11,0,1,0.907,train
78,1000,9023,9.02,9.0,5,12,0,1,1.0,train
79,1000,9140,9.14,9.0,6,12,0,1,1.0,train
80,1000,9172,9.17,9.0,6,12,0,1,1.0,train
81,1000,8912,8.91,9.0,6,11,0,1,0.878,train
82,1000,9042,9.04,9.0,7,12,0,1,0.742,train
83,1000,9200,9.2,9.0,7,11,0,1,0.879,train
84,1000,9132,9.13,9.0,7,12,0,1,0.669,train
85,1000,9201,9.2,9.0,6,12,0,1,0.831,train
86,1000,9161,9.16,9.0,7,12,0,1,0.793,train
87,1000,9053,9.05,9.0,6,11,0,1,0.85,train
88,1000,9114,9.11,9.0,7,11,0,1,0.711,train
89,1000,9161,9.16,9.0,7,11,0,1,0.813,train
90,1000,9283,9.28,9.0,7,12,0,1,0.873,train
91,1000,9256,9.26,9.0,7,12,0,1,0.961,train
92,1000,8675,8.68,9.0,6,11,0,1,0.852,train
93,1000,8805,8.8,9.0,6,11,0,1,0.927,train
94,1000,8741,8.74,9.0,5,11,0,1,1.0,train
95,1000,8773,8.77,9.0,5,11,0,1,0.95,train
96,1000,8668,8.67,9.0,5,11,0,1,0.97,train
97,1000,9145,9.14,9.0,6,11,0,1,1.0,train
98,1000,9169,9.17,9.0,6,12,0,1,0.937,train
99,1000,8926,8.93,9.0,5,11,0,1,1.0,train
100,1000,9121,9.12,9.0,7,12,0,1,0.735,train
101,1000,9096,9.1,9.0,7,11,0,1,0.744,train
102,1000,9128,9.13,9.0,6,12,0,1,0.749,train
103,1000,9197,9.2,9.0,7,11,0,1,0.95,train
104,1000,9190,9.19,9.0,7,12,0,1,0.775,train
105,1000,9121,9.12,9.0,7,12,0,1,0.8,train
106,1000,9122,9.12,9.0,7,11,0,1,0.8,train
107,1000,9366,9.37,9.0,6,12,0,1,0.745,train
108,1000,9660,9.66,10.0,6,11,0,1,0.698,train
109,1000,9319,9.32,9.0,6,11,0,1,0.734,train
110,1000,9169,9.17,9.0,5,11,0,1,0.721,train
111,1000,9299,9.3,9.0,6,12,0,1,0.672,train
112,1000,9299,9.3,9.0,6,12,0,1,0.774,train
113,1000,9204,9.2,9.0,6,12,0,1,0.85,train
114,1000,9254,9.25,9.0,6,12,0,1,0.81,train
115,1000,9409,9.41,9.0,7,12,0,1,0.682,train
116,1000,8932,8.93,9.0,6,11,0,1,1.0,train
117,1000,8808,8.81,9.0,6,11,0,1,1.0,train
118,1000,8946,8.95,9.0,6,11,0,1,1.0,train
119,1000,8872,8.87,9.0,5,11,0,1,1.0,train
120,1000,9010,9.01,9.0,6,11,0,1,1.0,train
121,1000,9043,9.04,9.0,6,12,0,1,1.0,train
122,1000,9030,9.03,9.0,7,11,0,1,1.0,train
123,1000,9017,9.02,9.0,7,11,0,1,1.0,train
124,1000,9028,9.03,9.0,6,11,0,1,1.0,train
125,1000,9194,9.19,9.0,7,11,0,1,1.0,train
126,1000,9019,9.02,9.0,7,10,0,1,1.0,train
127,1000,9293,9.29,9.0,7,12,0,1,1.0,train
128,1000,9258,9.26,9.0,7,12,0,1,1.0,train
129,1000,9054,9.05,9.0,7,11,0,1,1.0,train
130,1000,9218,9.22,9.0,7,11,0,1,1.0,train
131,1000,9211,9.21,9.0,7,11,0,1,1.0,train
132,1000,8984,8.98,9.0,7,10,0,1,1.0,train
133,1000,9217,9.22,9.0,7,11,0,1,1.0,train
134,1000,9195,9.2,9.0,7,11,0,1,1.0,train
135,1000,9225,9.22,9.0,7,11,0,1,1.0,train
136,1000,9276,9.28,9.0,7,11,0,1,1.0,train
137,1000,9091,9.09,9.0,7,12,0,1,1.0,train
138,1000,9074,9.07,9.0,6,11,0,1,1.0,train
139,1000,9079,9.08,9.0,7,11,0,1,1.0,train
140,1000,9091,9.09,9.0,7,11,0,1,1.0,train
141,1000,9255,9.26,9.0,7,11,0,1,1.0,train
142,1000,9033,9.03,9.0,7,11,0,1,1.0,train
143,1000,9276,9.28,9.0,7,12,0,1,1.0,train
144,1000,9252,9.25,9.0,7,11,0,1,1.0,train
145,1000,8994,8.99,9.0,7,10,0,1,1.0,train
146,1000,9250,9.25,9.0,7,11,0,1,1.0,train
147,1000,9164,9.16,9.0,7,11,0,1,1.0,train
148,1000,9239,9.24,9.0,7,11,0,1,1.0,train
149,1000,9249,9.25,9.0,7,11,0,1,1.0,train
150,1000,9238,9.24,9.0,7,11,0,1,1.0,train
151,1000,9180,9.18,9.0,7,11,0,1,1.0,train
152,1000,9217,9.22,9.0,7,11,0,1,1.0,train
153,1000,9197,9.2,9.0,7,12,0,1,1.0,train
154,1000,9239,9.24,9.0,7,11,0,1,1.0,train
155,1000,9206,9.21,9.0,7,11,0,1,1.0,train
156,1000,9259,9.26,9.0,7,12,0,1,1.0,train
157,1000,9218,9.22,9.0,7,11,0,1,1.0,train
158,1000,9244,9.24,9.0,7,11,0,1,1.0,train
159,1000,9183,9.18,9.0,7,11,0,1,1.0,train
160,1000,9172,9.17,9.0,7,11,0,1,1.0,train
161,1000,9181,9.18,9.0,7,11,0,1,1.0,train
162,1000,9157,9.16,9.0,7,11,0,1,1.0,train
163,1000,9259,9.26,9.0,7,11,0,1,1.0,train
164,1000,9330,9.33,9.0,7,12,0,1,1.0,train
165,1000,9252,9.25,9.0,7,11,0,1,1.0,train
166,1000,9309,9.31,9.0,7,11,0,1,1.0,train
167,1000,9301,9.3,9.0,7,12,0,1,1.0,train
168,1000,9231,9.23,9.0,7,11,0,1,1.0,train
169,1000,9242,9.24,9.0,7,11,0,1,1.0,train
170,1000,9232,9.23,9.0,7,12,0,1,1.0,train
171,1000,9153,9.15,9.0,7,11,0,1,1.0,train
172,1000,9196,9.2,9.0,7,12,0,1,1.0,train
173,1000,8950,8.95,9.0,5,11,0,1,1.0,train
174,1000,7882,7.88,8.0,5,11,0,1,1.0,train
175,341,2532,7.43,7.0,5,11,0,1,1.0,train
0,1000,8513,8.51,9.0,5,11,0,1,0.757,test
1,1000,9203,9.2,9.0,7,12,0,1,1.0,test
2,1000,9044,9.04,9.0,7,11,0,1,1.0,test
3,1000,9159,9.16,9.0,7,12,0,1,1.0,test
4,1000,9296,9.3,9.0,7,12,0,1,1.0,test
5,1000,9154,9.15,9.0,7,12,0,1,1.0,test
6,1000,9263,9.26,9.0,6,12,0,1,1.0,test
7,1000,9146,9.15,9.0,7,11,0,1,1.0,test
8,1000,9020,9.02,9.0,5,12,0,1,1.0,test
9,1000,9145,9.14,9.0,6,12,0,1,1.0,test
10,1000,9182,9.18,9.0,7,12,0,1,1.0,test
11,1000,9124,9.12,9.0,7,12,0,1,1.0,test
12,1000,9071,9.07,9.0,6,11,0,1,1.0,test
13,1000,9008,9.01,9.0,7,11,0,1,1.0,test
14,1000,9019,9.02,9.0,7,10,0,1,1.0,test
15,1000,9007,9.01,9.0,7,10,0,1,1.0,test
16,1000,9024,9.02,9.0,7,10,0,1,1.0,test
17,1000,9003,9.0,9.0,7,10,0,1,1.0,test
18,1000,9025,9.03,9.0,7,10,0,1,1.0,test
19,1000,8992,8.99,9.0,7,10,0,1,1.0,test
20,1000,8848,8.85,9.0,7,10,0,1,1.0,test
21,1000,8572,8.57,9.0,6,10,0,1,1.0,test
22,1000,7947,7.95,8.0,5,10,0,1,1.0,test
23,1000,8457,8.46,9.0,5,10,0,1,0.36,test
24,1000,8970,8.97,9.0,7,11,0,1,0.0,test
25,1000,8983,8.98,9.0,7,10,0,1,0.0,test
26,1000,8974,8.97,9.0,7,9,0,1,0.0,test
27,1000,8973,8.97,9.0,7,9,0,1,0.0,test
28,1000,8980,8.98,9.0,7,10,0,1,0.0,test
29,1000,8981,8.98,9.0,7,9,0,1,0.0,test
30,1000,8982,8.98,9.0,7,9,0,1,0.0,test
31,1000,8993,8.99,9.0,7,11,0,1,0.0,test
32,1000,8968,8.97,9.0,7,9,0,1,0.0,test
33,1000,8987,8.99,9.0,7,10,0,1,0.0,test
34,1000,8976,8.98,9.0,7,10,0,1,0.0,test
35,1000,8995,8.99,9.0,7,12,0,1,0.0,test
36,1000,8976,8.98,9.0,7,9,0,1,0.0,test
37,1000,8978,8.98,9.0,7,9,0,1,0.0,test
38,1000,8983,8.98,9.0,7,11,0,1,0.0,test
39,1000,8978,8.98,9.0,6,10,0,1,0.0,test
40,1000,8960,8.96,9.0,5,12,0,1,0.0,test
41,1000,8943,8.94,9.0,6,12,0,1,0.0,test
42,1000,8819,8.82,9.0,6,12,0,1,0.0,test
43,1000,8504,8.5,9.0,5,12,0,1,0.363,test
44,1000,9114,9.11,9.0,7,11,0,1,1.0,test
45,1000,9155,9.15,9.0,7,12,0,1,1.0,test
46,1000,9184,9.18,9.0,7,12,0,1,1.0,test
47,1000,9428,9.43,9.0,7,12,0,1,1.0,test
48,1000,9267,9.27,9.0,7,12,0,1,1.0,test
49,1000,9364,9.36,9.0,7,12,0,1,1.0,test
50,1000,9295,9.29,9.0,7,12,0,1,1.0,test
51,1000,9248,9.25,9.0,7,12,0,1,1.0,test
52,1000,9326,9.33,9.0,7,12,0,1,1.0,test
53,1000,9362,9.36,9.0,7,12,0,1,1.0,test
54,1000,9517,9.52,9.0,7,12,0,1,1.0,test
55,1000,9243,9.24,9.0,7,12,0,1,1.0,test
56,1000,9495,9.49,9.0,7,12,0,1,1.0,test
57,1000,9171,9.17,9.0,7,12,0,1,1.0,test
