experiment_id,tested_dimension,description,seed,learning_rate,hidden_dimension,embedding_dimension,transformer_layers,transformer_heads,gnn_layers,dropout,knn_k,temporal_window,contrastive_temperature,feature_masking_ratio,edge_dropout,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_fpr,val_fnr,val_rare_minority_recall,val_roc_auc,selection_score,train_time_sec,total_params
EXP_HP_003,learning_rate,Learning Rate: 0.002,42,0.002,64,64,2,4,2,0.1,10,30,0.1,0.15,0.15,0.35206765598720974,0.8869864010949011,0.43407512358158573,0.4256833909646084,0.3863141455709434,0.8911344445941627,0.0,0.0005241548003843802,0.14355342454452275,,0.46146196690163177,19.572278200000255,248714
EXP_HP_005,hidden_dimension,Hidden Dimension: 128,42,0.001,128,64,2,4,2,0.1,10,30,0.1,0.15,0.15,0.3484029389090008,0.8881511895401998,0.3835559873890212,0.41464290623256356,0.3802995026174131,0.891795140117658,0.0,0.002475175446259573,0.11175744755861096,,0.4542897436209744,20.35684549999951,584394
EXP_HP_008,transformer_layers,Transformer Depth: 1 layers,42,0.001,64,64,1,4,2,0.1,10,30,0.1,0.15,0.15,0.3823182202047772,0.8858216126496025,0.3835410959275796,0.3970375306814812,0.37306902256161634,0.8898494703141898,0.0,0.0012521475786960194,0.0850850520007051,,0.4441510981474074,11.38818960000026,198730
EXP_HP_011,transformer_heads,Attention Heads: 8,42,0.001,64,64,2,8,2,0.1,10,30,0.1,0.15,0.15,0.3860665029949612,0.8865496054279142,0.41045214069512853,0.40124217088605735,0.3694340883603723,0.8895682292681749,0.0,0.0005823942226493113,0.09530873396993617,,0.4436235084083249,21.244553800000176,248714
EXP_HP_012,gnn_layers,GraphSAGE Depth: 1 layers,42,0.001,64,64,2,4,1,0.1,10,30,0.1,0.15,0.15,0.39261778195699054,0.8870155208060336,0.3799002223550868,0.3978659159025244,0.37136550443765054,0.8912073927660721,0.0,0.0033196470691010745,0.07435439802573594,,0.4435040980065913,19.171931200000472,235722
EXP_HP_001,baseline,Base Reference Default Architecture,42,0.001,64,64,2,4,2,0.1,10,30,0.1,0.15,0.15,0.38704022268454236,0.8873940770507557,0.3607038267698086,0.3988181006582066,0.36818627645762947,0.8904236119721572,0.0,0.0005823942226493113,0.088301043219076,,0.4420887872820686,19.808539899999232,248714
EXP_HP_018,knn_k,Graph Connectivity KNN K: 15,42,0.001,64,64,2,4,2,0.1,15,30,0.1,0.15,0.15,0.3870121091604233,0.8873649573396232,0.3606586261985488,0.39873106845629186,0.36812169792697663,0.890401755039957,0.0,0.0005823942226493113,0.088301043219076,,0.4420228078195393,19.5519304999998,248714
EXP_HP_019,temporal_window,Temporal Window: 10s,42,0.001,64,64,2,4,2,0.1,10,10,0.1,0.15,0.15,0.38701655467351276,0.8873649573396232,0.3606415071522761,0.39873106845629186,0.368118164474665,0.890396198821772,0.0,0.0005823942226493113,0.088301043219076,,0.44202086442076793,19.33141909999995,248714
EXP_HP_021,contrastive_temperature,Contrastive Temperature: 0.05,42,0.001,64,64,2,4,2,0.1,10,30,0.05,0.15,0.15,0.3870466632975472,0.8873358376284908,0.3606008085434388,0.3987017858794251,0.3680774907859875,0.8903617836072403,0.0,0.0005823942226493113,0.088301043219076,,0.4419882449900919,19.771386299999904,248714
EXP_HP_024,feature_masking_ratio,Feature Masking Ratio: 0.1,42,0.001,64,64,2,4,2,0.1,10,30,0.1,0.1,0.15,0.3870435953140259,0.8873358376284908,0.3605464299054704,0.3987017858794251,0.36803701989401183,0.8903741584447685,0.0,0.0005823942226493113,0.088301043219076,,0.4419659859995053,19.733993999999257,248714
EXP_HP_026,edge_dropout,Edge Dropout Ratio: 0.05,42,0.001,64,64,2,4,2,0.1,10,30,0.1,0.15,0.05,0.38709546128908795,0.8873358376284908,0.3605846243490808,0.3986616579927075,0.36806053167521385,0.8903599937490764,0.0,0.0005823942226493113,0.088301043219076,,0.44196487271881524,19.731544100000065,248714
EXP_HP_025,feature_masking_ratio,Feature Masking Ratio: 0.3,42,0.001,64,64,2,4,2,0.1,10,30,0.1,0.3,0.15,0.38705366518762374,0.8873358376284908,0.3605846243490808,0.3986616579927075,0.36806053167521385,0.8903599937490764,0.0,0.0005823942226493113,0.088301043219076,,0.44196487271881524,19.67242940000051,248714
EXP_HP_022,contrastive_temperature,Contrastive Temperature: 0.07,42,0.001,64,64,2,4,2,0.1,10,30,0.07,0.15,0.15,0.3870227320326699,0.8873067179173583,0.36055556807009453,0.3986147536775104,0.3680128740785947,0.8903399139016572,0.0,0.0005823942226493113,0.088301043219076,,0.44192224453035567,19.75657980000051,248714
EXP_HP_023,contrastive_temperature,Contrastive Temperature: 0.2,42,0.001,64,64,2,4,2,0.1,10,30,0.2,0.15,0.15,0.38707713617218864,0.8873067179173583,0.36053850450308367,0.3986147536775104,0.36800935543745933,0.8903343668787278,0.0,0.0005823942226493113,0.088301043219076,,0.4419203092777313,19.739161599999534,248714
EXP_HP_020,temporal_window,Temporal Window: 60s,42,0.001,64,64,2,4,2,0.1,10,60,0.1,0.15,0.15,0.3870548754930496,0.8873067179173583,0.36053850450308367,0.3986147536775104,0.36800935543745933,0.8903343668787278,0.0,0.0005823942226493113,0.088301043219076,,0.4419203092777313,19.758560600000237,248714
EXP_HP_027,edge_dropout,Edge Dropout Ratio: 0.2,42,0.001,64,64,2,4,2,0.1,10,30,0.1,0.15,0.2,0.38707970248328316,0.8873067179173583,0.36053850450308367,0.3986147536775104,0.36800935543745933,0.8903343668787278,0.0,0.0005823942226493113,0.088301043219076,,0.4419203092777313,19.757547300000624,248714
EXP_HP_017,knn_k,Graph Connectivity KNN K: 5,42,0.001,64,64,2,4,2,0.1,5,30,0.1,0.15,0.15,0.38708898921807605,0.8873067179173583,0.36049407496041624,0.3985746257907927,0.3679728174765552,0.8903399108164436,0.0,0.0005823942226493113,0.088301043219076,,0.44188616863888286,19.503325499999846,248714
EXP_HP_009,transformer_layers,Transformer Depth: 4 layers,42,0.001,64,64,4,4,2,0.1,10,30,0.1,0.15,0.15,0.37632502449883354,0.8857342535162052,0.3735834800174723,0.391724789325321,0.3667541075524241,0.8893298310593256,0.0,0.0019510206458751929,0.06882381456019743,,0.4388184354176956,35.915275099999235,348682
EXP_HP_014,dropout,Dropout Rate: 0.05,42,0.001,64,64,2,4,2,0.05,10,30,0.1,0.15,0.15,0.38613906337155235,0.8872775982062258,0.38890484521065033,0.3928921207664659,0.3637640412078313,0.8903805392583048,0.0,0.0006988730671791736,0.07394758146124267,,0.43758246493257025,19.455399999999827,248714
EXP_HP_010,transformer_heads,Attention Heads: 2,42,0.001,64,64,2,2,2,0.1,10,30,0.1,0.15,0.15,0.3893757743967904,0.887102879939431,0.3562039958149399,0.3893153111022899,0.36165771015938747,0.8898757590162213,0.0,0.0007279927783116391,0.06420765027322405,,0.4351720994734646,18.541813300000285,248714
EXP_HP_013,gnn_layers,GraphSAGE Depth: 3 layers,42,0.001,64,64,2,4,3,0.1,10,30,0.1,0.15,0.15,0.3931104921632343,0.8827931626918261,0.387301607108686,0.3880056595765379,0.3616011349020544,0.8871805225728918,0.0,0.0037273230249555925,0.059327075621364356,,0.4346826050479182,19.673357699999542,261706
EXP_HP_007,embedding_dimension,Embedding Dimension: 128,42,0.001,64,128,2,4,2,0.1,10,30,0.1,0.15,0.15,0.389713391661644,0.8845112256486416,0.37524307602330875,0.38578730195427546,0.3626464831813365,0.8889451753438944,0.0,0.0028828514021140912,0.054446500969504666,,0.4344811214337315,33.543302800000674,587914
EXP_HP_006,embedding_dimension,Embedding Dimension: 32,42,0.001,64,32,2,4,2,0.1,10,30,0.1,0.15,0.15,0.3895007090436088,0.8874523164730206,0.3856665073233372,0.3764401361857284,0.35915147480539467,0.8916977590215819,0.0,0.0023586966017297107,0.03545302309183854,,0.429287358807972,12.761379300000044,159082
EXP_HP_015,dropout,Dropout Rate: 0.2,42,0.001,64,64,2,4,2,0.2,10,30,0.1,0.15,0.15,0.3921990411149131,0.8868408025392388,0.35553629343500914,0.3796695394451891,0.35565018427275,0.8893524424351523,0.0,0.000669753356046708,0.040983606557377046,,0.4284919401558287,19.497342200000276,248714
EXP_HP_016,dropout,Dropout Rate: 0.3,42,0.001,64,64,2,4,2,0.3,10,30,0.1,0.15,0.15,0.40601594083838993,0.8857051338050727,0.3625762594100398,0.369792992922294,0.34557777168717096,0.8879705202479903,0.0,0.0008153519117090358,0.017759562841530054,,0.4194953219507469,19.489128700000037,248714
EXP_HP_002,learning_rate,Learning Rate: 0.0005,42,0.0005,64,64,2,4,2,0.1,10,30,0.1,0.15,0.15,0.4386883344915178,0.882472845869369,0.347164996414923,0.36155654441434504,0.3427946532274962,0.8852083436719383,0.0,0.0010191898896362947,0.028688524590163935,,0.41508184982014373,19.449040000000423,248714
EXP_HP_004,hidden_dimension,Hidden Dimension: 32,42,0.001,32,64,2,4,2,0.1,10,30,0.1,0.15,0.15,0.5106502738263872,0.8795899944672548,0.3565091235160729,0.36094930916726736,0.34027204304473163,0.8823534738158075,0.0,0.0020966192015375207,0.031420765027322405,,0.41348188188314594,19.403454899999815,160842
