Class ID,Class Name,F1 Mean,F1 Std,F1 Min,F1 Max,Precision Mean,Recall Mean,Formatted F1
0,Normal,0.9773944617029604,0.0017527014428553051,0.9744491455574482,0.9791800522207489,0.9915851335041606,0.9636108108108109,0.9774 +/- 0.0018
1,Analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0000 +/- 0.0000
2,Backdoor,0.02859151159113203,0.006775791950655115,0.019077901430842606,0.03697996918335902,0.1575894817742644,0.015780445969125215,0.0286 +/- 0.0068
3,DoS,0.45533593016212215,0.0020246659016934206,0.4529434397845325,0.4582893347412883,0.33096246286476216,0.7295182196135974,0.4553 +/- 0.0020
4,Exploits,0.6620235059607665,0.002838845410334509,0.6583964341335052,0.666207554166446,0.8201540867771463,0.5550664750269494,0.6620 +/- 0.0028
5,Fuzzers,0.691101955530011,0.0048233198250499255,0.6836068185438904,0.69789379523461,0.6765225826101181,0.7064005278785879,0.6911 +/- 0.0048
6,Generic,0.9790014772066549,0.00048217741745103953,0.9781522590402117,0.9795256874290962,0.9986997170646543,0.9600657092893858,0.9790 +/- 0.0005
7,Reconnaissance,0.7789938454631402,0.006174827854179046,0.7684292784579317,0.7860378363975487,0.7251889421916182,0.8415331807780321,0.7790 +/- 0.0062
8,Shellcode,0.3963936037528854,0.006002424734158441,0.39106145251396646,0.40714840714840717,0.2831409238316029,0.6608465608465608,0.3964 +/- 0.0060
9,Worms,0.04532339697006595,0.004562205588624769,0.03773584905660377,0.05194805194805195,0.06186522162255226,0.04090909090909091,0.0453 +/- 0.0046
