epoch,train_loss,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_binary_fpr,val_binary_fnr,mean_gate_val,lr
1,1.3921,0.4553,0.8716,0.3203,0.3375,0.3143,0.88,0.0,0.0158,0.4705,0.001
2,1.0062,0.3784,0.8916,0.3588,0.3857,0.3479,0.8929,0.0,0.0007,0.446,0.0009980072755276434
3,0.9373,0.3533,0.8991,0.4112,0.4019,0.3851,0.9026,0.0,0.0,0.438,0.0009920451463563218
4,0.8959,0.3428,0.9047,0.4098,0.4621,0.4015,0.9082,0.0,0.0005,0.4287,0.0009821616160444475
5,0.8383,0.3248,0.9055,0.488,0.4846,0.4676,0.9081,0.0,0.0,0.4319,0.0009684362609666701
6,0.8137,0.3244,0.8994,0.5027,0.5026,0.4714,0.9043,0.0,0.0,0.4475,0.0009509795896116976
7,0.8037,0.3057,0.9102,0.4916,0.52,0.4949,0.914,0.0,0.0,0.4431,0.0009299321528329238
8,0.7781,0.3072,0.9099,0.4809,0.4582,0.4418,0.913,0.0,0.0001,0.426,0.000905463412215599
9,0.7461,0.3007,0.9099,0.4787,0.4793,0.4484,0.9136,0.0,0.0002,0.4346,0.0008777703756717876
10,0.746,0.3028,0.9099,0.4745,0.4916,0.4557,0.9154,0.0,0.0002,0.4426,0.0008470760112484981
11,0.741,0.2962,0.9114,0.486,0.4937,0.4557,0.9164,0.0,0.0004,0.4587,0.0008136274519200732
12,0.7543,0.2868,0.9152,0.5653,0.5515,0.5296,0.9193,0.0,0.0,0.4456,0.0007776940058187909
13,0.7381,0.2973,0.9096,0.5555,0.5643,0.5236,0.9151,0.0,0.0,0.4373,0.0007395649879241345
14,0.7201,0.2814,0.916,0.5753,0.5386,0.5269,0.9193,0.0,0.0,0.4475,0.0006995473906686924
15,0.7115,0.2758,0.9159,0.5802,0.5693,0.5408,0.9195,0.0,0.0,0.4541,0.0006579634122155991
16,0.7092,0.28,0.9193,0.5318,0.5602,0.5199,0.9222,0.0,0.0,0.4624,0.0006151478623083758
17,0.6892,0.2778,0.9181,0.5707,0.5627,0.5431,0.9223,0.0,0.0,0.4727,0.0005714454665797396
18,0.6874,0.2734,0.9159,0.5407,0.5914,0.5269,0.9214,0.0,0.0,0.4685,0.0005272080910235051
19,0.6749,0.2678,0.9188,0.5739,0.5768,0.5425,0.9236,0.0,0.0,0.4741,0.0004827919089764953
20,0.6626,0.2652,0.9186,0.5683,0.6168,0.5415,0.9241,0.0,0.0,0.4844,0.0004385545334202607
21,0.6751,0.2668,0.9164,0.5656,0.6021,0.5359,0.9214,0.0,0.0,0.4883,0.00039485213769162455
22,0.6629,0.2594,0.9195,0.5735,0.6045,0.5517,0.9237,0.0,0.0,0.4907,0.0003520365877844012
23,0.6755,0.2627,0.9165,0.5589,0.6087,0.5298,0.9217,0.0,0.0,0.5029,0.0003104526093313081
24,0.653,0.2566,0.9204,0.5707,0.6193,0.5569,0.9247,0.0,0.0,0.5049,0.00027043501207586583
25,0.6532,0.2588,0.9194,0.5501,0.6164,0.546,0.9246,0.0,0.0,0.5059,0.0002323059941812094
26,0.6416,0.2571,0.919,0.5715,0.5982,0.5459,0.9235,0.0,0.0,0.5142,0.000196372548079927
27,0.6438,0.2561,0.9188,0.5697,0.6217,0.5439,0.9237,0.0,0.0,0.5156,0.0001629239887515021
28,0.6472,0.2557,0.9203,0.5706,0.6095,0.5565,0.9247,0.0,0.0,0.5142,0.00013222962432821267
29,0.6453,0.256,0.9182,0.5674,0.6249,0.5523,0.9225,0.0,0.0,0.5176,0.0001045365877844011
30,0.6513,0.2552,0.9201,0.5863,0.6219,0.5489,0.925,0.0,0.0,0.5176,8.006784716707631e-05
31,0.6483,0.2549,0.9189,0.5629,0.6261,0.5498,0.9236,0.0,0.0,0.5195,5.90204103883026e-05
32,0.6348,0.2537,0.9197,0.5657,0.6245,0.5472,0.9246,0.0,0.0,0.521,4.15637390333301e-05
33,0.6452,0.2535,0.919,0.5639,0.6209,0.545,0.9238,0.0,0.0,0.5225,2.7838383955552655e-05
34,0.6321,0.2531,0.9192,0.5652,0.6236,0.548,0.9238,0.0,0.0,0.5225,1.795485364367832e-05
