Model,Class ID,Class Name,Precision,Recall,F1 Score,F1_mean
Logistic Regression,0,Normal,0.9246 ± 0.0000,0.6022 ± 0.0000,0.7294 ± 0.0000,0.7293528429735834
Logistic Regression,1,Analysis,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0
Logistic Regression,2,Backdoor,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0
Logistic Regression,3,DoS,0.2074 ± 0.0000,0.0384 ± 0.0000,0.0648 ± 0.0000,0.06479570780024763
Logistic Regression,4,Exploits,0.4629 ± 0.0000,0.7606 ± 0.0000,0.5755 ± 0.0000,0.5755361451925365
Logistic Regression,5,Fuzzers,0.2074 ± 0.0000,0.5949 ± 0.0000,0.3076 ± 0.0000,0.307587324604427
Logistic Regression,6,Generic,0.9882 ± 0.0000,0.9624 ± 0.0000,0.9751 ± 0.0000,0.9751134258637816
Logistic Regression,7,Reconnaissance,0.3903 ± 0.0000,0.3607 ± 0.0000,0.3749 ± 0.0000,0.37490709082800655
Logistic Regression,8,Shellcode,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0
Logistic Regression,9,Worms,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0
Random Forest,0,Normal,0.9640 ± 0.0014,0.7553 ± 0.0006,0.8470 ± 0.0005,0.8469536742451335
Random Forest,1,Analysis,0.0028 ± 0.0039,0.0039 ± 0.0056,0.0033 ± 0.0046,0.0032520325203252032
Random Forest,2,Backdoor,0.0284 ± 0.0030,0.0669 ± 0.0014,0.0398 ± 0.0032,0.03977607466735819
Random Forest,3,DoS,0.7562 ± 0.0194,0.0756 ± 0.0016,0.1374 ± 0.0026,0.1373870136548364
Random Forest,4,Exploits,0.5816 ± 0.0018,0.8632 ± 0.0047,0.6950 ± 0.0010,0.6949577269441424
Random Forest,5,Fuzzers,0.2934 ± 0.0007,0.5904 ± 0.0052,0.3920 ± 0.0017,0.3920257317931674
Random Forest,6,Generic,0.9993 ± 0.0001,0.9660 ± 0.0004,0.9824 ± 0.0002,0.982360622327182
Random Forest,7,Reconnaissance,0.9233 ± 0.0046,0.7996 ± 0.0011,0.8570 ± 0.0022,0.8569865436523348
Random Forest,8,Shellcode,0.4012 ± 0.0175,0.6808 ± 0.0033,0.5046 ± 0.0137,0.5046310727174603
Random Forest,9,Worms,0.8500 ± 0.1080,0.0833 ± 0.0107,0.1516 ± 0.0189,0.15164399092970518
